idpm,latitud,longitud,nombre_via,ih,temperatura,velocidad_viento,precipitacion,humedad,PM25,CO,NO,NO2
2518,39.471735054220332,-0.387886322708887,"Carrer de Calixt III, 15",136,14.0,4,0.0,68,8.1811,0.22260000000000002,13.947800000000004,31.5015
2519,39.474108238063117,-0.383958448867788,"Carrer de Guillem de Castro, 68-74",813,14.0,4,0.0,68,10.482899999999999,0.2903,47.1208,62.4404
2522,39.475591209771721,-0.384935327985847,"Carrer de Quart, 65",334,14.0,4,0.0,68,8.8543,0.2424,23.649800000000003,40.5501
2524,39.478455886674652,-0.383666007656107,"Carrer de Guillem de Castro, 169",788,14.0,4,0.0,68,10.3979,0.2878,45.89580000000001,61.2979
105,39.46829585133122,-0.380102394389314,"Carrer de Guillem de Castro, 2",1198,14.0,4,0.0,68,11.7919,0.3288,65.98580000000001,80.0349
106,39.468582464103882,-0.381355366590016,"Carrer de JesÃºs, 1",387,14.0,4,0.0,68,9.0345,0.2477,26.246800000000004,42.9722
133,39.467404216793511,-0.376385171827194,"Carrer de XÃ tiva, 17",1017,14.0,4,0.0,68,11.176499999999999,0.3107,57.1168,71.7632
134,39.472265803508691,-0.37685678177176,"Carrer de Sant Vicent MÃ rtir, 16",173,14.0,4,0.0,68,8.3069,0.2263,15.760800000000003,33.1924
135,39.472196809324501,-0.376931999691258,"PlaÃ§a de l'Ajuntament, 22",347,14.0,4,0.0,68,8.8985,0.2437,24.286800000000003,41.1442
416,39.459911884909289,-0.358824624788053,"Carrer de l'Alcalde Reig, 79",611,14.0,4,0.0,68,9.796100000000001,0.2701,37.22280000000001,53.209
417,39.461637381612185,-0.360258770063503,"Carrer de l'Alcalde Reig, 79",517,14.0,4,0.0,68,9.4765,0.2607,32.616800000000005,48.9132
