id punto de medida,angulo,ptos_gps,nombre_via,tipo
1505,43,"39.4691196888,-0.359404691898","Avinguda d'AragÃ³, 8",0
1508,251,"39.4688469047,-0.355701944551","Avinguda del Cardenal Benlloch, 33",0
1509,71,"39.469438071,-0.355273284673","Avinguda del Cardenal Benlloch, 46",0
1510,251,"39.4725930903,-0.353858755405","Avinguda del Cardenal Benlloch, 77",0
4421,341,"39.4965128936,-0.364961039988","Avinguda dels Germans Machado, 55",0
1151,67,"39.48671212,-0.376094966637","Carrer de la Pobla del Duc, 2-4",0
1151,67,"39.48671212,-0.376094966637","Carrer de la Pobla del Duc, 2-4",0
1152,245,"39.4843202343,-0.371805675001","Carrer d'Almassora, 37",0
1153,90,"39.4854948711,-0.378090048483","Carrer de Ruaya, 37",0
1154,90,"39.4855392477,-0.377168300615","Carrer de Ruaya, 42",0
1155,355,"39.4853955996,-0.376667715699","Carrer de Ruaya, 27",0
1156,186,"39.48533705,-0.374711887025","Carrer de Ruaya, 12",0
1157,177,"39.4857316153,-0.38022065299","Carrer de Reus, 29",0
1158,349,"39.4853368335,-0.373016972349","Carrer de l'Argenter SuÃ¡rez, 11",0
1160,68,"39.4826505268,-0.372175187995","Carrer d'Almassora, 11",0
1201,18,"39.4905621347,-0.380445319766","Avinguda del Doctor Peset Aleixandre, 81",0
1202,296,"39.4919892621,-0.379119877336","CamÃ­ de Montcada, 61-63",0
1203,75,"39.4895140069,-0.374807711909","Carrer de Sagunt, 178",0
1204,198,"39.4913466322,-0.377470973394","Avinguda del Doctor Peset Aleixandre, 44",0
1208,243,"39.4899562351,-0.375474348979","Avinguda de la ConstituciÃ³, 130",0
1209,198,"39.4917680559,-0.375608130938","Avinguda del Doctor Peset Aleixandre, 22",0
1210,18,"39.4895643452,-0.385116687283","Avinguda del Doctor Peset Aleixandre, 121",0
1211,198,"39.4898666771,-0.38406272894","Avinguda del Doctor Peset Aleixandre, 104",0
1214,138,"39.4914041811,-0.372880870616","Avinguda del Primat Reig, 11-13",0
1807,341,"39.4702708606,-0.336346481776","Avinguda de Blasco IbÃ¡Ã±ez, 192",0
1808,342,"39.4677520809,-0.341622001592","Carrer dels Sants Just i Pastor, 120",0
1809,162,"39.46795285,-0.341945739551","Carrer dels Sants Just i Pastor, 111",0
1810,161,"39.470913047,-0.336438770032","Avinguda de Blasco IbÃ¡Ã±ez, 173",0
1811,161,"39.4666903249,-0.337622518329","Carrer dels Sants Just i Pastor, 146",0
1812,341,"39.4670545573,-0.339212009246","Carrer dels Sants Just i Pastor, 136",0
1813,162,"39.4673742157,-0.339908566599","Carrer dels Sants Just i Pastor, 141",0
1814,71,"39.4680476821,-0.338899635251","Carrer de JosÃ© MarÃ­a Haro, 6",0
1815,250,"39.4684744919,-0.33882931894","Carrer de JosÃ© MarÃ­a Haro, 11",0
1902,244,"39.4592936609,-0.388443622846","Avinguda de Gaspar Aguilar, 7",0
1903,244,"39.4524380611,-0.393084318717","Avinguda de Gaspar Aguilar, 99",0
1904,64,"39.4513799044,-0.393692668258","Avinguda de Gaspar Aguilar, 109-111",0
1908,263,"39.4498700343,-0.385207665429","Carrer de Sant Vicent MÃ rtir, 318",0
1909,82,"39.4515391331,-0.384790270744","Calle FernÃ¡ndez Mesa, 2",0
1910,82,"39.4539890975,-0.384304044961","Carrer de Sant Vicent MÃ rtir, 259",0
1911,64,"39.4551584931,-0.391134522802","Avinguda de Gaspar Aguilar, 63",0
1912,244,"39.4553560357,-0.3911159185","Avinguda de Gaspar Aguilar, 54",0
1913,199,"39.4566623554,-0.388260514257","Carrer de Jaime BeltrÃ¡n, 20",0
1914,19,"39.4566259282,-0.38809154481","Carrer de Jaime BeltrÃ¡n, 11",0
1920,240,"39.459794527,-0.385965263467","Carrer de l'Uruguai, 1-9",0
2007,254,"39.4748625026,-0.347569397675","Carrer de Ramon Llull, 3",0
2008,74,"39.4744655375,-0.347502544968","Carrer de Ramon Llull, 1",0
1215,318,"39.491524353,-0.373333319713","Avinguda del Primat Reig, 2",0
1216,18,"39.491418579,-0.376475814225","Avinguda del Doctor Peset Aleixandre, 39",0
1217,18,"39.4914878878,-0.376082227306","Avinguda del Doctor Peset Aleixandre, 33",0
1218,138,"39.4909761463,-0.372372444065","Avinguda del Primat Reig, 19",0
1220,198,"39.4909920938,-0.379095289837","Avinguda del Doctor Peset Aleixandre, 58A",0
1221,18,"39.4904309774,-0.381341846463","Avinguda del Doctor Peset Aleixandre, 78-80",0
1222,243,"39.4879846505,-0.376873242918","Avinguda de la ConstituciÃ³, 86",0
1301,252,"39.4858751368,-0.367113412487","Carrer de Genaro Lahuerta Pintor, 18-20",0
1302,342,"39.4863860317,-0.367942059519","Carrer de Cofrentes, 10",0
1303,250,"39.4861747752,-0.363056687476","Carrer de Dolores MarquÃ©s, 6-8",0
1304,69,"39.4831682178,-0.370012249516","Carrer dÂ´Alboraia, 44",0
1305,138,"39.4868534645,-0.366764085568","Avinguda del Primat Reig, 81-85",0
1306,250,"39.4868061336,-0.362738229237","Carrer de Dolores MarquÃ©s, 20",0
1307,318,"39.4852955535,-0.364916662732","Avinguda del Primat Reig, 60-62",0
1308,71,"39.4823230121,-0.370413387732","Carrer dÂ´Alboraia, 32-34",0
1310,251,"39.4899237202,-0.371284935058","Carrer de Bilbao, 50-52",0
1311,68,"39.4808345284,-0.371143216094","Carrer dÂ´Alboraia, 14-18",0
1312,70,"39.4866672311,-0.368173926116","Carrer dÂ´Alboraia, 69",0
1313,165,"39.4866370242,-0.368532697567","Carrer de Cofrentes, 5",0
2113,254,"39.4650738531,-0.351559178221","Carrer del Pare TomÃ s de MontaÃ±ana, 4-6",0
2114,341,"39.4683254377,-0.351988738872","Carrer de RodrÃ­guez de Cepeda, 43",0
2116,254,"39.4675814422,-0.350541821258","Carrer del Doctor Manuel Candela, 17",0
2117,74,"39.4679992158,-0.350149915925","Carrer del Doctor Manuel Candela, 32",0
2119,73,"39.4666475941,-0.350697137135","Carrer del Doctor Manuel Candela, 16D",0
2120,73,"39.4660410289,-0.350943913535","Carrer del Doctor Manuel Candela, 6",0
2121,160,"39.4648773589,-0.350231114843","Carrer de les Illes CanÃ ries, 123",0
2122,298,"39.4624541928,-0.358198871318","Paseo de la Alameda, 39",0
2213,211,"39.4538395052,-0.36255143198","Avinguda dels Germans Maristes, 28",0
2214,31,"39.4526391384,-0.365014382416","Avinguda dels Germans Maristes, 16",0
2215,121,"39.4528674164,-0.36550057259","Carrer del Bomber Ramon Duart, 7",0
2216,301,"39.4534125006,-0.36597861942","Carrer del Bomber Ramon Duart, 7",0
2217,210,"39.4515635811,-0.367865589302","Avinguda dels Germans Maristes, 7-9",0
2218,31,"39.4506430238,-0.369711170093","Avinguda dels Germans Maristes, 8",0
2219,299,"39.4515356912,-0.370559306754","Carrera de la Fonteta de Sant LluÃ­s, 106-108",0
2220,211,"39.4506027392,-0.370139657376","Carrer de L'Ebenista Caselles, 4",0
2221,304,"39.450377123,-0.369819197313","Carrera de la Fonteta de Sant LluÃ­s, 141",0
2222,124,"39.4500526042,-0.369518104002","Carrera de la Fonteta de Sant LluÃ­s, 141",0
2223,30,"39.458012272,-0.359893078678","Avinguda de la Plata, 107",0
2224,210,"39.4579689715,-0.360412853519","Avinguda de la Plata, 103",0
2224,210,"39.4579689715,-0.360412853519","Avinguda de la Plata, 103",0
2225,30,"39.4570527336,-0.362092079649","Avinguda de la Plata, 83",0
1315,250,"39.4873995818,-0.362426104442","Carrer de Dolores MarquÃ©s, 28",0
1316,341,"39.4854483357,-0.364680419796","Carrer del Doctor Vicent Zaragoza, 3",0
1317,341,"39.485044023,-0.363380258036","Calle Cavanilles, 40",0
